"conversation_id_str","created_at","favorite_count","full_text","id_str","image_url","in_reply_to_screen_name","lang","location","quote_count","reply_count","retweet_count","tweet_url","user_id_str","username"
"1789668807927337400","Sun May 12 14:47:48 +0000 2024","0","Duhh liat d story orgorg yg asik berfoto bersama RI 1 berarti Kendari Lge rame donk @Me sayangx aku di Makassar Cobax di Kendari pasti SDH ku terobos pa*pampr*s biar ketemu My Presiden 🇮🇩","1789668807927337400","","","in","Indonesia ","0","0","0","https://twitter.com/TDjorgi/status/1789668807927337400","3303912278","TDjorgi"
"1789666842404872368","Sun May 12 14:40:00 +0000 2024","0","Pj Gubernur Sultra Andap Budhi Revianto menyambut kedatangan Presiden Jokowi setiba di Kendari untuk melakukan kunjungan kerja selama tiga hari https://t.co/oaLseyheXm","1789666842404872368","","","in","iNews Tower","0","0","0","https://twitter.com/officialinews_/status/1789666842404872368","132078023","officialinews_"
"1789633949326782537","Sun May 12 14:25:19 +0000 2024","0","@Rahmat_Untung06 search sja d maps toko bintang kendari d sekitaran situ menjual lupaka namanya wkwk","1789663148888478041","","Rahmat_Untung06","in","bisa dimana aja","0","1","0","https://twitter.com/fvckmetzy/status/1789663148888478041","1321445845","fvckmetzy"
"1789652012210229661","Sun May 12 13:41:04 +0000 2024","0","Jokowi Sapa Ribuan Pengunjung The Park Mall Kota Kendari BACA SELENGKAPNYA DISINI ⬇️⬇️⬇️ https://t.co/ZxcEZ8u11E","1789652012210229661","","","in","Indonesia","0","0","0","https://twitter.com/telisik_id/status/1789652012210229661","1234774867704049664","telisik_id"
"1789644944266989940","Sun May 12 13:39:19 +0000 2024","0","@bitiesfess Kendari hadir","1789651570092920921","","bitiesfess","in","jinhit","0","0","0","https://twitter.com/TheAstronaut79/status/1789651570092920921","1701407521918107648","TheAstronaut79"
"1789651464828387801","Sun May 12 13:38:53 +0000 2024","0","Tiba di Kendari Presiden Jokowi Menginap di Hotel Claro Malam Ini BACA SELENGKAPNYA DISINI ⬇️⬇️⬇️ https://t.co/hl86mI087j","1789651464828387801","","","in","Indonesia","0","0","0","https://twitter.com/telisik_id/status/1789651464828387801","1234774867704049664","telisik_id"
"1789642973631873087","Sun May 12 13:05:09 +0000 2024","0","Presiden Joko Widodo mengunjungi Mall The Park Kendari dan disambut oleh ribuan warga Kota Kendari Sulawesi Tenggara. Pantauan ANTARA Mall The Park Kendari mulai dipadati oleh ribuan warga untuk melihat langsung orang nomor satu di Indonesia itu. https://t.co/ca7W2wrENq","1789642973631873087","","","in","NKRI","0","0","0","https://twitter.com/antaranews/status/1789642973631873087","18071520","antaranews"
"1789640975201321415","Sun May 12 12:57:13 +0000 2024","0","pada akhirnya semua akan ketemu d kendari","1789640975201321415","","","in","bisa dimana aja","0","0","0","https://twitter.com/fvckmetzy/status/1789640975201321415","1321445845","fvckmetzy"
"1789640564440482276","Sun May 12 12:55:35 +0000 2024","0","Ribuan masyarakat memadati Mall The Park Kendari untuk menemui Presiden Republik Indonesia (RI) Joko Widodo Minggu (12/5/2024) malam. https://t.co/BQM0uvn7Ns","1789640564440482276","","","in","Kota Kendari, Sulawesi Tenggar","0","0","0","https://twitter.com/Kendarinformasi/status/1789640564440482276","987881287896649728","Kendarinformasi"
"1789634126791741766","Sun May 12 12:30:00 +0000 2024","0","Sosok Jiah Youtuber Cantik Dari Korsel Yang Diajak ke Hotel Oleh Pria Diduga Pejabat Dari Kendari https://t.co/MGPqtHS1j9","1789634126791741766","","","in","","0","0","0","https://twitter.com/radaraktual/status/1789634126791741766","853782937782714368","radaraktual"
"1789633949326782537","Sun May 12 12:29:17 +0000 2024","0","Info penjual pangsit enak di Kendari","1789633949326782537","","","in","","0","2","0","https://twitter.com/Rahmat_Untung06/status/1789633949326782537","373426982","Rahmat_Untung06"
"1789627467436806212","Sun May 12 12:03:32 +0000 2024","0","Halo min @indosatim3 mohon dibantu untuk lokasi langi bajo kendari paket data masih ada. Tetapi datanya tanda silang. Jadi tidak bisa internetan. https://t.co/Mu3QfMSxLq","1789627467436806212","https://pbs.twimg.com/media/GNYIr3obQAA5bTW.jpg","","in","Jakarta Capital Region","0","0","0","https://twitter.com/astrea_red/status/1789627467436806212","1007660975393103872","astrea_red"
"1789626256750952490","Sun May 12 11:58:43 +0000 2024","0","Smart Upgrade Festival Kalla Toyota Hadir di Kendari Tawarkan Promo Menarik https://t.co/Dgbfbd2xyl","1789626256750952490","","","in","Sulawesi Tenggara, Indonesia","0","0","0","https://twitter.com/penasultra_id/status/1789626256750952490","1388567274","penasultra_id"
"1789612978037555233","Sun May 12 11:05:58 +0000 2024","0","emang sesusah itu ya nyari driver buat mesen makan di kendari? dicancel mulu drtd ","1789612978037555233","","","in","Jakarta, Indonesia","0","0","0","https://twitter.com/rarahels/status/1789612978037555233","157566734","rarahels"
"1789599415373857258","Sun May 12 10:12:04 +0000 2024","0","Selamat datang di Kota Kendari Pak Presiden Jokowi @jokowi untuk kesekian kalinya. https://t.co/taki7n5JZT","1789599415373857258","https://pbs.twimg.com/media/GNXvLPUaMAAaGYv.jpg","","in","Kota Kendari, Sulawesi Tenggar","0","1","0","https://twitter.com/bung_zulzaman/status/1789599415373857258","2223403536","bung_zulzaman"
